Season_x,Tm,G_RHP,PA_RHP,AB_RHP,H_RHP,1B_RHP,2B_RHP,3B_RHP,HR_RHP,R_RHP,RBI_RHP,BB_RHP,IBB_RHP,SO_RHP,HBP_RHP,SF_RHP,SH_RHP,GDP_RHP,SB_RHP,CS_RHP,AVG_RHP,Season_y,G_LHP,PA_LHP,AB_LHP,H_LHP,1B_LHP,2B_LHP,3B_LHP,HR_LHP,R_LHP,RBI_LHP,BB_LHP,IBB_LHP,SO_LHP,HBP_LHP,SF_LHP,SH_LHP,GDP_LHP,SB_LHP,CS_LHP,AVG_LHP,Season,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,ISO,NAME,CITY,STATE,START,LEAGUE,Exact,Latitude,Longitude,Altitude
2022.0,HOU,1462.0,4205.0,3754.0,909.0,570.0,186.0,11.0,142.0,495.0,478.0,366.0,17.0,858.0,47.0,30.0,5.0,87.0,66.0,15.0,0.24214172,2022.0,888.0,1849.0,1655.0,432.0,260.0,98.0,2.0,72.0,242.0,237.0,162.0,1.0,321.0,13.0,12.0,4.0,31.0,17.0,7.0,0.26102719,2022.0,1588.0,6054.0,5409.0,1341.0,830.0,284.0,13.0,214.0,737.0,715.0,528.0,18.0,1179.0,60.0,42.0,9.0,118.0,83.0,22.0,0.24792013,0.31942375,0.42392309,0.74334684,0.17600296,Minute Maid Park,Houston,TX,20000407.0,AL,Y,29.757041,-95.355429,20.0
2022.0,KCR,1494.0,4440.0,4029.0,968.0,668.0,172.0,25.0,103.0,448.0,430.0,336.0,4.0,973.0,30.0,31.0,13.0,74.0,91.0,25.0,0.24025813,2022.0,840.0,1570.0,1408.0,359.0,236.0,75.0,13.0,35.0,192.0,183.0,124.0,3.0,314.0,18.0,13.0,7.0,27.0,13.0,9.0,0.25497159,2022.0,1614.0,6010.0,5437.0,1327.0,904.0,247.0,38.0,138.0,640.0,613.0,460.0,7.0,1287.0,48.0,44.0,20.0,101.0,104.0,34.0,0.24406842,0.30639506,0.37962111,0.68601617,0.13555269,Kauffman Stadium,Kansas City,MO,19730410.0,AL,Y,39.051604,-94.480149,886.0
2022.0,LAD,1468.0,4509.0,3973.0,1027.0,614.0,235.0,23.0,155.0,612.0,585.0,450.0,15.0,976.0,41.0,41.0,2.0,66.0,81.0,15.0,0.25849484,2022.0,931.0,1738.0,1553.0,391.0,236.0,90.0,8.0,57.0,235.0,227.0,157.0,7.0,398.0,15.0,12.0,1.0,19.0,17.0,3.0,0.25177077,2022.0,1597.0,6247.0,5526.0,1418.0,850.0,325.0,31.0,212.0,847.0,812.0,607.0,22.0,1374.0,56.0,53.0,3.0,85.0,98.0,18.0,0.25660514,0.33338674,0.44173,0.77511674,0.18512486,Dodger Stadium,Los Angeles,CA,19620410.0,NL,Y,34.073878,-118.239951,501.0
2022.0,MIA,1544.0,4633.0,4200.0,992.0,661.0,196.0,20.0,115.0,472.0,445.0,344.0,2.0,1065.0,54.0,29.0,1.0,101.0,99.0,24.0,0.23619048,2022.0,709.0,1316.0,1195.0,249.0,168.0,52.0,0.0,29.0,114.0,109.0,92.0,4.0,364.0,16.0,7.0,3.0,19.0,23.0,5.0,0.2083682,2022.0,1629.0,5949.0,5395.0,1241.0,829.0,248.0,20.0,144.0,586.0,554.0,436.0,6.0,1429.0,70.0,36.0,4.0,120.0,122.0,29.0,0.2300278,0.29425636,0.36348471,0.65774107,0.13345691,Marlins Park,Miami,FL,20120404.0,NL,Y,25.778165,-80.219541,6.0
2022.0,MIL,1506.0,4413.0,3913.0,937.0,565.0,188.0,13.0,171.0,560.0,547.0,415.0,21.0,1024.0,49.0,29.0,7.0,88.0,79.0,19.0,0.23945822,2022.0,898.0,1709.0,1504.0,334.0,219.0,63.0,4.0,48.0,165.0,156.0,162.0,4.0,440.0,31.0,8.0,4.0,29.0,17.0,11.0,0.22207447,2022.0,1621.0,6122.0,5417.0,1271.0,784.0,251.0,17.0,219.0,725.0,703.0,577.0,25.0,1464.0,80.0,37.0,11.0,117.0,96.0,30.0,0.23463171,0.31549665,0.40852871,0.72402536,0.173897,Miller Park,Milwaukee,WI,20010406.0,NL,Y,43.028232,-87.970966,602.0
2022.0,MIN,1517.0,4392.0,3937.0,986.0,652.0,191.0,12.0,131.0,516.0,494.0,373.0,8.0,978.0,45.0,31.0,5.0,92.0,25.0,13.0,0.2504445,2022.0,890.0,1721.0,1539.0,370.0,239.0,78.0,6.0,47.0,180.0,174.0,145.0,3.0,375.0,17.0,15.0,5.0,41.0,13.0,4.0,0.24041585,2022.0,1663.0,6113.0,5476.0,1356.0,891.0,269.0,18.0,178.0,696.0,668.0,518.0,11.0,1353.0,62.0,46.0,10.0,133.0,38.0,17.0,0.247626,0.31727303,0.40084003,0.71811306,0.15321403,Target Field,Minneapolis,MN,20100412.0,AL,Y,44.981749,-93.278026,840.0
2022.0,NYM,1479.0,4276.0,3803.0,1008.0,679.0,189.0,21.0,119.0,547.0,528.0,346.0,17.0,840.0,80.0,33.0,13.0,85.0,50.0,14.0,0.2650539,2022.0,939.0,1900.0,1686.0,414.0,273.0,83.0,6.0,52.0,225.0,207.0,164.0,8.0,377.0,32.0,11.0,7.0,37.0,12.0,8.0,0.2455516,2022.0,1623.0,6176.0,5489.0,1422.0,952.0,272.0,27.0,171.0,772.0,735.0,510.0,25.0,1217.0,112.0,44.0,20.0,122.0,62.0,22.0,0.25906358,0.33208773,0.41191474,0.74400247,0.15285116,Citi Field,New York,NY,20090413.0,NL,Y,40.757134,-73.84584,13.0
2022.0,NYY,1508.0,4623.0,4071.0,980.0,621.0,167.0,5.0,187.0,592.0,559.0,458.0,25.0,1041.0,53.0,32.0,7.0,88.0,90.0,27.0,0.24072709,2022.0,790.0,1549.0,1351.0,328.0,200.0,58.0,3.0,67.0,215.0,205.0,162.0,11.0,350.0,17.0,9.0,7.0,33.0,12.0,6.0,0.24278312,2022.0,1610.0,6172.0,5422.0,1308.0,821.0,225.0,8.0,254.0,807.0,764.0,620.0,36.0,1391.0,70.0,41.0,14.0,121.0,102.0,33.0,0.2412394,0.32471965,0.42622648,0.75094613,0.18498708,New Yankee Stadium,New York,NY,20090416.0,AL,Y,40.829586,-73.926413,11.0
2022.0,OAK,1503.0,4331.0,3933.0,843.0,549.0,180.0,12.0,102.0,401.0,382.0,316.0,5.0,1044.0,43.0,21.0,16.0,86.0,60.0,14.0,0.2143402,2022.0,784.0,1532.0,1381.0,304.0,197.0,69.0,3.0,35.0,167.0,155.0,117.0,2.0,345.0,16.0,12.0,6.0,23.0,18.0,9.0,0.22013034,2022.0,1670.0,5863.0,5314.0,1147.0,746.0,249.0,15.0,137.0,568.0,537.0,433.0,7.0,1389.0,59.0,33.0,22.0,109.0,78.0,23.0,0.21584494,0.28069875,0.34569063,0.62638938,0.12984569,Oakland-Alameda County Coliseum,Oakland,CA,19680417.0,AL,Y,37.751619,-122.200451,0.0
2022.0,PHI,1468.0,4328.0,3941.0,979.0,641.0,164.0,18.0,156.0,540.0,521.0,322.0,12.0,964.0,34.0,29.0,2.0,80.0,80.0,22.0,0.24841411,2022.0,873.0,1749.0,1555.0,413.0,262.0,91.0,11.0,49.0,207.0,198.0,156.0,3.0,399.0,18.0,15.0,4.0,36.0,25.0,6.0,0.26559486,2022.0,1605.0,6077.0,5496.0,1392.0,903.0,255.0,29.0,205.0,747.0,719.0,478.0,15.0,1363.0,52.0,44.0,6.0,116.0,105.0,28.0,0.25327511,0.31663921,0.42212518,0.73876439,0.16885007,Citizens Bank Park,Philadelphia,PA,20040412.0,NL,Y,39.906109,-75.166485,19.0
